FamilyID	TaxonID	Count	Change	Pvalue
S12	Sporothrix_bragantina_CBS47491	14	5	0.00128615
S12	35	7	1	0.198846
S12	36	9	2	0.120912
S12	32	6	0	0.725765
S12	33	6	0	0.644242
S12	31	6	1	0.356345
S12	38	9	0	0.576335
S12	39	9	0	0.706182
S12	Sporothrix_humicola_CBS118129	12	-1	0.115177
S12	40	10	1	0.131943
S12	37	9	0	0.572113
S12	42	13	4	0.00515437
S12	44	8	-1	0.218262
S12	Sporothrix_pseudoabietina_VPRI43531	8	-2	0.00177127
S12	Sporothrix_variecibatus_CBS121961	14	4	0.000370353
S12	Sporothrix_protearum_CBS116654	5	-4	0.00090451
S12	47	8	0	0.597772
S12	Sporothrix_dimorphospora_CBS55374	11	0	0.793239
S12	45	8	0	0.73934
S12	Sporothrix_mexicana_CBS120341	18	5	5.53736e-06
S12	48	11	2	0.107536
S12	Sporothrix_euskadiensis_VPRI43754	10	0	0.579113
S12	Sporothrix_pallida_CBS13156	13	0	0.575868
S12	41	10	0	0.666657
S12	43	13	0	0.615118
S12	49	7	0	0.635319
S12	Sporothrix_phasma_CBS119721	5	-3	0.0131291
S12	51	7	0	0.635319
S12	52	7	0	0.56444
S12	56	16	9	6.8017e-06
S12	Sporothrix_schenckii_1099	9	1	0.0403301
S12	Sporothrix_globosa_CBS120340	9	1	0.0967611
S12	Sporothrix_brasiliensis_5110	8	0	0.572585
S12	Sporothrix_curviconia_CBS95973	10	1	0.323261
S12	Sporothrix_luriei_CBS93772	7	-1	0.310592
S12	50	7	0	0.657088
S12	57	4	-2	0.191895
S12	Sporothrix_epigloea_CBS119000	1	0	0.5606
S12	Sporothrix_epigloea_CBS57363	1	0	0.526548
S12	55	1	0	0.5369
S12	Sporothrix_inflata_CBS23968	12	1	0.257778
S12	53	9	2	0.0119401
S12	Sporothrix_thermara_CBS139747MAG	6	-1	0.530442
S12	54	1	-6	2.18048e-07
S12	Sporothrix_epigloea_TF4163	1	0	0.526548
S12	Sporothrix_nigrograna_VPRI43755	5	-2	0.260793
S12	Sporothrix_eucalyptigena_CBS139899	16	0	0.509482
S12	Sporothrix_eucalyptigena_CBS140593	16	0	0.509482
S12	Ophiostoma_novoulmi_H327	4	0	0.771463
S12	Ophiostoma_ips_VPRI43529	3	-1	0.427132
S12	Sporothrix_brunneoviolacea_CBS124561	10	4	0.0502209
S12	Ophiostoma_fasciatum_VPRI43845	0	-6	0.000333108
S12	Sporothrix_insectorum_RCEF264	7	1	0.553311
S12	Leptographium_lundbergii_CBS138716	6	1	0.448383
S08A	Sporothrix_bragantina_CBS47491	10	1	0.323261
S08A	35	7	0	0.774864
S08A	36	7	0	0.792442
S08A	32	7	0	0.746074
S08A	33	7	0	0.661622
S08A	31	7	1	0.400714
S08A	38	7	0	0.561014
S08A	39	6	-1	0.269635
S08A	Sporothrix_humicola_CBS118129	11	-2	0.0016425
S08A	40	6	0	0.644242
S08A	37	7	0	0.557546
S08A	42	13	6	7.58346e-05
S08A	44	6	-1	0.17809
S08A	Sporothrix_pseudoabietina_VPRI43531	4	0	0.534196
S08A	Sporothrix_variecibatus_CBS121961	8	2	0.0204971
S08A	Sporothrix_protearum_CBS116654	6	0	0.732143
S08A	47	6	0	0.576338
S08A	Sporothrix_dimorphospora_CBS55374	11	1	0.238798
S08A	45	6	0	0.701715
S08A	Sporothrix_mexicana_CBS120341	13	0	0.66974
S08A	48	10	3	0.00960972
S08A	Sporothrix_euskadiensis_VPRI43754	2	-2	0.000247493
S08A	Sporothrix_pallida_CBS13156	15	2	0.00475909
S08A	41	4	-2	0.00383028
S08A	43	13	0	0.615118
S08A	49	7	0	0.635319
S08A	Sporothrix_phasma_CBS119721	3	-3	0.00610054
S08A	51	7	0	0.635319
S08A	52	7	0	0.56444
S08A	56	9	2	0.123505
S08A	Sporothrix_schenckii_1099	6	0	0.556047
S08A	Sporothrix_globosa_CBS120340	6	0	0.622195
S08A	Sporothrix_brasiliensis_5110	5	-1	0.0846491
S08A	Sporothrix_curviconia_CBS95973	12	3	0.0422066
S08A	Sporothrix_luriei_CBS93772	5	-1	0.252555
S08A	50	7	0	0.657088
S08A	57	8	1	0.374284
S08A	Sporothrix_epigloea_CBS119000	1	0	0.5606
S08A	Sporothrix_epigloea_CBS57363	1	0	0.526548
S08A	55	1	0	0.5369
S08A	Sporothrix_inflata_CBS23968	10	0	0.781461
S08A	53	9	2	0.0119401
S08A	Sporothrix_thermara_CBS139747MAG	7	0	0.824233
S08A	54	1	-6	2.18048e-07
S08A	Sporothrix_epigloea_TF4163	1	0	0.526548
S08A	Sporothrix_nigrograna_VPRI43755	6	-1	0.619876
S08A	Sporothrix_eucalyptigena_CBS139899	9	0	0.505367
S08A	Sporothrix_eucalyptigena_CBS140593	9	0	0.505367
S08A	Ophiostoma_novoulmi_H327	8	0	0.84878
S08A	Ophiostoma_ips_VPRI43529	9	1	0.366926
S08A	Sporothrix_brunneoviolacea_CBS124561	12	5	0.0232895
S08A	Ophiostoma_fasciatum_VPRI43845	3	-4	0.0517161
S08A	Sporothrix_insectorum_RCEF264	8	1	0.585349
S08A	Leptographium_lundbergii_CBS138716	6	0	0.768783
