#cluster_id	cluster_type	1to1_type	proteome_count	percentage_at_target_count
OG0001416	shared	true	23	1.00
OG0001417	shared	true	23	1.00
OG0001418	shared	true	23	1.00
OG0001419	shared	true	23	1.00
OG0001420	shared	true	23	1.00
OG0001421	shared	true	23	1.00
OG0001422	shared	true	23	1.00
OG0001423	shared	true	23	1.00
OG0001424	shared	true	23	1.00
OG0001425	shared	true	23	1.00
OG0001426	shared	true	23	1.00
OG0001427	shared	true	23	1.00
OG0001428	shared	true	23	1.00
OG0001429	shared	true	23	1.00
OG0001430	shared	true	23	1.00
OG0001431	shared	true	23	1.00
OG0001432	shared	true	23	1.00
OG0001433	shared	true	23	1.00
OG0001434	shared	true	23	1.00
OG0001435	shared	true	23	1.00
OG0001436	shared	true	23	1.00
OG0001437	shared	true	23	1.00
OG0001438	shared	true	23	1.00
OG0001439	shared	true	23	1.00
OG0001440	shared	true	23	1.00
OG0001441	shared	true	23	1.00
OG0001442	shared	true	23	1.00
OG0001443	shared	true	23	1.00
OG0001444	shared	true	23	1.00
OG0001445	shared	true	23	1.00
OG0001446	shared	true	23	1.00
OG0001447	shared	true	23	1.00
OG0001448	shared	true	23	1.00
OG0001449	shared	true	23	1.00
OG0001450	shared	true	23	1.00
OG0001451	shared	true	23	1.00
OG0001452	shared	true	23	1.00
OG0001453	shared	true	23	1.00
OG0001454	shared	true	23	1.00
OG0001455	shared	true	23	1.00
OG0001456	shared	true	23	1.00
OG0001457	shared	true	23	1.00
OG0001458	shared	true	23	1.00
OG0001459	shared	true	23	1.00
OG0001460	shared	true	23	1.00
OG0001461	shared	true	23	1.00
OG0001462	shared	true	23	1.00
OG0001463	shared	true	23	1.00
OG0001464	shared	true	23	1.00
OG0001465	shared	true	23	1.00
OG0001466	shared	true	23	1.00
OG0001467	shared	true	23	1.00
OG0001468	shared	true	23	1.00
OG0001469	shared	true	23	1.00
OG0001470	shared	true	23	1.00
OG0001471	shared	true	23	1.00
OG0001472	shared	true	23	1.00
OG0001473	shared	true	23	1.00
OG0001474	shared	true	23	1.00
OG0001475	shared	true	23	1.00
OG0001476	shared	true	23	1.00
OG0001477	shared	true	23	1.00
OG0001478	shared	true	23	1.00
OG0001479	shared	true	23	1.00
OG0001480	shared	true	23	1.00
OG0001481	shared	true	23	1.00
OG0001482	shared	true	23	1.00
OG0001483	shared	true	23	1.00
OG0001484	shared	true	23	1.00
OG0001485	shared	true	23	1.00
OG0001486	shared	true	23	1.00
OG0001487	shared	true	23	1.00
OG0001488	shared	true	23	1.00
OG0001489	shared	true	23	1.00
OG0001490	shared	true	23	1.00
OG0001491	shared	true	23	1.00
OG0001492	shared	true	23	1.00
OG0001493	shared	true	23	1.00
OG0001494	shared	true	23	1.00
OG0001495	shared	true	23	1.00
OG0001496	shared	true	23	1.00
OG0001497	shared	true	23	1.00
