#cluster_id	cluster_protein_count	protein_median_count	TAXON_count	attribute	attribute_cluster_type	protein_span_mean	protein_span_sd	all_count	all_median	all_cov
OG0000105	39	2.0	22	all	specific	304.2564102564103	44.457826716389434	39	2.0	0.96
OG0000106	39	2.0	14	all	specific	537.6410256410256	197.36735073818463	39	1.0	0.61
OG0000107	39	2.0	20	all	specific	494.84615384615387	89.43283927963685	39	2.0	0.87
OG0000108	39	2.0	18	all	specific	451.28205128205127	208.26215588838846	39	1.0	0.78
OG0000109	38	1.0	18	all	specific	775.3684210526316	374.5966547362805	38	1.0	0.78
OG0000110	38	3.0	12	all	specific	587.4736842105264	170.30386725560894	38	1.0	0.52
OG0000111	38	2.0	22	all	specific	278.92105263157896	30.24407865399124	38	2.0	0.96
OG0000112	38	2.0	20	all	specific	341.92105263157896	63.18659983645241	38	2.0	0.87
OG0000113	38	2.0	22	all	specific	445.0263157894737	98.57497462981513	38	2.0	0.96
OG0000114	38	2.0	20	all	specific	630.2368421052631	74.42531905436142	38	2.0	0.87
OG0000115	38	1.0	23	all	specific	550.1052631578947	260.25198209202074	38	1.0	1.00
OG0000116	38	1.0	16	all	specific	411.9736842105263	163.6609921762385	38	1.0	0.70
OG0000117	38	2.0	23	all	specific	531.6578947368421	113.97582299394384	38	2.0	1.00
OG0000118	38	2.0	18	all	specific	209.57894736842104	54.26331104169516	38	2.0	0.78
OG0000119	38	2.0	15	all	specific	356.89473684210526	120.29826736156221	38	1.0	0.65
OG0000120	38	2.0	14	all	specific	254.39473684210526	130.53000047855184	38	1.0	0.61
OG0000121	37	2.0	23	all	specific	894.5135135135135	493.93038253417654	37	2.0	1.00
OG0000122	37	2.0	21	all	specific	566.5945945945946	111.06011507274236	37	2.0	0.91
OG0000123	37	1.0	23	all	specific	605.4864864864865	97.44648472342408	37	1.0	1.00
OG0000124	37	2.0	23	all	specific	239.1891891891892	12.614530098773244	37	2.0	1.00
OG0000125	37	2.0	23	all	specific	587.2432432432432	33.111935796387314	37	2.0	1.00
OG0000126	37	2.0	18	all	specific	442.7567567567568	86.6638131425123	37	2.0	0.78
OG0000127	37	2.0	22	all	specific	295.3783783783784	38.90275565265709	37	2.0	0.96
OG0000128	37	2.0	23	all	specific	346.5405405405405	51.44274938776776	37	2.0	1.00
OG0000129	37	1.0	19	all	specific	479.4054054054054	126.69466582757133	37	1.0	0.83
OG0000130	37	2.0	20	all	specific	369.1081081081081	83.87435383689034	37	2.0	0.87
OG0000131	36	2.0	16	all	specific	462.77777777777777	61.940433352944986	36	1.0	0.70
OG0000132	36	2.0	22	all	specific	167.52777777777777	30.128876985295378	36	2.0	0.96
OG0000133	36	2.0	22	all	specific	408.44444444444446	44.514320070714604	36	2.0	0.96
OG0000134	36	2.0	19	all	specific	366.3888888888889	34.46437595367922	36	2.0	0.83
OG0000135	36	1.0	23	all	specific	746.7222222222222	73.34038265781724	36	1.0	1.00
OG0000136	36	2.0	19	all	specific	317.77777777777777	55.92907766444091	36	2.0	0.83
OG0000137	36	2.0	23	all	specific	548.2222222222222	194.2324081997176	36	2.0	1.00
OG0000138	36	2.0	22	all	specific	649.9722222222222	321.3290530585527	36	2.0	0.96
OG0000139	36	1.0	23	all	specific	483.3333333333333	146.3378890710734	36	1.0	1.00
OG0000140	36	2.0	20	all	specific	587.1944444444445	10.723337593109829	36	2.0	0.87
